topicId,level,lesson,english,italian,issueType
"nodejs",20,"node_performance_2","Old Space","Vecchio spazio",trivial-example
"nodejs",20,"node_performance_2","Mark and Sweep","Marca e spazza",tautological-example
"nodejs",20,"node_performance_2","Mark and Sweep","Marca e spazza",trivial-example
"nodejs",20,"node_performance_2","WeakRef","riferimento debole (WeakRef)",tautological-example
"nodejs",20,"node_performance_2","OOM","Out of Memory",tautological-example
"nodejs",20,"node_performance_2","process.memoryUsage","uso di memoria del processo (process.memoryUsage)",tautological-example
"nodejs",20,"node_performance_3","Cache","memoria intermedia (Cache)",trivial-example
"nodejs",20,"node_performance_3","Redis","Redis (database in memoria chiave-valore)",tautological-example
"nodejs",20,"node_performance_3","Redis","Redis (database in memoria chiave-valore)",fake-translation
"nodejs",20,"node_performance_3","Redis","Redis (database in memoria chiave-valore)",trivial-example
"nodejs",20,"node_performance_3","ioredis","client Redis Node.js (ioredis)",tautological-example
"nodejs",20,"node_performance_3","ioredis","client Redis Node.js (ioredis)",trivial-example
"nodejs",20,"node_performance_3","Memoization","Memoizzazione",tautological-example
"nodejs",20,"node_performance_3","Memoization","Memoizzazione",trivial-example
"nodejs",20,"node_performance_3","TTL","time to live (TTL)",tautological-example
"nodejs",20,"node_performance_3","TTL","time to live (TTL)",trivial-example
"nodejs",20,"node_performance_3","Eviction","sfratto dalla cache (Eviction)",tautological-example
"nodejs",20,"node_performance_3","Eviction","sfratto dalla cache (Eviction)",trivial-example
"nodejs",20,"node_performance_3","LRU","Least Recently Used (LRU)",tautological-example
"nodejs",20,"node_performance_3","LRU","Least Recently Used (LRU)",trivial-example
"nodejs",20,"node_performance_3","Cache Miss","dato assente in cache (Cache Miss)",trivial-example
"nodejs",20,"node_performance_4","Event Loop Lag","Ritardo event loop",tautological-example
"nodejs",20,"node_performance_4","Event Loop Lag","Ritardo event loop",trivial-example
"nodejs",20,"node_performance_4","Blocking Code","Codice bloccante",tautological-example
"nodejs",20,"node_performance_4","Blocking Code","Codice bloccante",trivial-example
"nodejs",20,"node_performance_4","Lazy Loading","Caricamento pigro",tautological-example
"nodejs",20,"node_performance_4","Lazy Loading","Caricamento pigro",trivial-example
"nodejs",20,"node_performance_4","JIT Compilation","Compilazione JIT",trivial-example
"nodejs",20,"node_performance_4","Hot Path","percorso caldo del codice (Hot Path)",trivial-example
"nodejs",20,"node_performance_4","Tree Shaking","tree shaking / scuotimento dell'albero (rimozione codice morto)",tautological-example
"nodejs",20,"node_performance_4","Tree Shaking","tree shaking / scuotimento dell'albero (rimozione codice morto)",fake-translation
"nodejs",20,"node_performance_4","Tree Shaking","tree shaking / scuotimento dell'albero (rimozione codice morto)",trivial-example
"nodejs",20,"node_performance_4","Bundle Size","Dimensione bundle",trivial-example
"nodejs",20,"node_performance_4","Cold Start","partenza a freddo (Cold Start)",tautological-example
"nodejs",20,"node_performance_4","p99 Latency","Latenza p99",tautological-example
"nodejs",20,"node_performance_4","p99 Latency","Latenza p99",trivial-example
"nodejs",21,"node_deployment_1","Process Manager","gestore di processi (Process Manager)",trivial-example
"nodejs",21,"node_deployment_1","PM2","PM2 (process manager Node.js)",tautological-example
"nodejs",21,"node_deployment_1","PM2","PM2 (process manager Node.js)",fake-translation
"nodejs",21,"node_deployment_1","pm2 start","avvia processo PM2 (pm2 start)",tautological-example
"nodejs",21,"node_deployment_1","pm2 start","avvia processo PM2 (pm2 start)",trivial-example
"nodejs",21,"node_deployment_1","Cluster Mode","Modalità cluster",trivial-example
"nodejs",21,"node_deployment_1","Ecosystem File","File ecosystem",trivial-example
"nodejs",21,"node_deployment_1","pm2 logs","visualizza log PM2 (pm2 logs)",tautological-example
"nodejs",21,"node_deployment_1","pm2 logs","visualizza log PM2 (pm2 logs)",trivial-example
"nodejs",21,"node_deployment_1","Auto Restart","Riavvio automatico",trivial-example
"nodejs",21,"node_deployment_1","Memory Limit","Limite memoria",trivial-example
"nodejs",21,"node_deployment_1","pm2 monit","monitor in tempo reale PM2 (pm2 monit)",tautological-example
