topicId,level,lesson,english,italian,issueType
"rust",20,"rust_testing_1","Assert Ne","Asserzione di disuguaglianza (assert_ne!)",trivial-example
"rust",20,"rust_testing_1","Test Output","Output di test",trivial-example
"rust",20,"rust_testing_1","Test Threading","Threading dei test",trivial-example
"rust",20,"rust_testing_2","Integration Test","Test di integrazione",tautological-example
"rust",20,"rust_testing_2","Doc Test","Test estratto dalla documentazione (doc test)",tautological-example
"rust",20,"rust_testing_2","Common Module","Modulo comune",trivial-example
"rust",20,"rust_testing_2","Test Fixture","Fixture di test",trivial-example
"rust",20,"rust_testing_2","Mock","Oggetto fittizio per i test (mock)",tautological-example
"rust",20,"rust_testing_2","Mock","Oggetto fittizio per i test (mock)",trivial-example
"rust",20,"rust_testing_2","Test Coverage","Copertura di test",trivial-example
"rust",20,"rust_testing_3","Property Testing","Test basato su proprietà (property testing)",tautological-example
"rust",20,"rust_testing_3","Property Testing","Test basato su proprietà (property testing)",trivial-example
"rust",20,"rust_testing_3","Proptest","Framework property testing Rust (proptest)",tautological-example
"rust",20,"rust_testing_3","Proptest","Framework property testing Rust (proptest)",trivial-example
"rust",20,"rust_testing_3","Quickcheck","Property testing in stile Haskell (quickcheck)",tautological-example
"rust",20,"rust_testing_3","Test Generator","Generatore di test",trivial-example
"rust",20,"rust_testing_3","Snapshot Test","Test snapshot",trivial-example
"rust",20,"rust_testing_3","Golden Test","Test su output di riferimento (golden test)",tautological-example
"rust",20,"rust_testing_3","Differential Testing","Testing differenziale",tautological-example
"rust",20,"rust_testing_4","Benchmark","Test prestazionale (benchmark)",trivial-example
"rust",20,"rust_testing_4","Criterion","Framework benchmark statistico (criterion)",tautological-example
"rust",20,"rust_testing_4","Latency","Latenza",near-identical-translation
"rust",20,"rust_testing_4","Profiling","Profilazione delle prestazioni (profiling)",trivial-example
"rust",20,"rust_testing_4","Iai","Benchmark con cycle counter (iai)",tautological-example
"rust",20,"rust_testing_4","Regression Test","Test di regressione",tautological-example
"rust",21,"rust_io_1","Read File","Lettura file",trivial-example
"rust",21,"rust_io_1","Write File","Scrittura file",trivial-example
"rust",21,"rust_io_1","File Open","Apertura file",trivial-example
"rust",21,"rust_io_1","Buf Reader","Lettore con buffer (BufReader)",trivial-example
"rust",21,"rust_io_1","Read Line","Lettura riga",trivial-example
"rust",21,"rust_io_2","TCP Listener","Listener TCP (TcpListener)",trivial-example
"rust",21,"rust_io_2","TCP Listener","",duplicate-across-lessons
"rust",21,"rust_io_2","TCP Stream","Connessione TCP (TcpStream)",trivial-example
"rust",21,"rust_io_2","TCP Stream","",duplicate-across-lessons
"rust",21,"rust_io_2","Socket Address","Indirizzo socket",trivial-example
"rust",21,"rust_io_2","Hyper","Libreria HTTP Rust low-level (hyper)",tautological-example
"rust",21,"rust_io_2","Hyper","Libreria HTTP Rust low-level (hyper)",trivial-example
"rust",21,"rust_io_2","Hyper","",duplicate-across-lessons
"rust",21,"rust_io_2","Reqwest","Client HTTP ad alto livello (reqwest)",tautological-example
"rust",21,"rust_io_2","Reqwest","Client HTTP ad alto livello (reqwest)",trivial-example
"rust",21,"rust_io_2","Reqwest","",duplicate-across-lessons
"rust",21,"rust_io_2","Axum","Framework web Tokio (axum)",tautological-example
