topicId,level,lesson,english,italian,issueType
"ai-engineering",0,"ai_foundations_1","Model","Modello",near-identical-translation
"ai-engineering",0,"ai_foundations_1","Inference","Inferenza",near-identical-translation
"ai-engineering",0,"ai_foundations_1","Algorithm","Algoritmo",near-identical-translation
"ai-engineering",0,"ai_foundations_3","Iteration","Iterazione",near-identical-translation
"ai-engineering",1,"ai_data_2","Imputation","Imputazione",near-identical-translation
"ai-engineering",1,"ai_data_2","Duplicate","Duplicato",near-identical-translation
"ai-engineering",2,"ai_supervised_1","Classification","Classificazione",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Regression","Regressione",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Coefficient","Coefficiente",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Intercept","Intercetta",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Residual","Residuo",near-identical-translation
"ai-engineering",2,"ai_supervised_3","Variance","Varianza",near-identical-translation
"ai-engineering",2,"ai_supervised_3","Capacity","Capacità",near-identical-translation
"ai-engineering",3,"ai_unsupervised_1","Centroid","Centroide",near-identical-translation
"ai-engineering",3,"ai_unsupervised_1","Dendrogram","Dendrogramma",near-identical-translation
"ai-engineering",3,"ai_unsupervised_3","Support","Supporto",near-identical-translation
"ai-engineering",3,"ai_unsupervised_3","Confidence","Confidenza",near-identical-translation
"ai-engineering",3,"ai_unsupervised_3","Anomaly","Anomalia",near-identical-translation
"ai-engineering",4,"ai_neural_1","Neuron","Neurone",near-identical-translation
"ai-engineering",4,"ai_neural_1","Perceptron","Percettrone",near-identical-translation
"ai-engineering",4,"ai_neural_2","Sigmoid","Sigmoide",near-identical-translation
"ai-engineering",4,"ai_neural_2","Non-Linearity","Non-linearità",near-identical-translation
"ai-engineering",4,"ai_neural_3","Gradient","Gradiente",near-identical-translation
"ai-engineering",4,"ai_neural_4","Momentum","Momento",near-identical-translation
"ai-engineering",5,"ai_dl_1","Convolution","Convoluzione",near-identical-translation
"ai-engineering",5,"ai_dl_1","Filter","Filtro",near-identical-translation
"ai-engineering",6,"ai_nlp_3","N-Gram","N-gramma",near-identical-translation
"ai-engineering",6,"ai_nlp_4","Attention","Attenzione",near-identical-translation
"ai-engineering",6,"ai_nlp_4","Value","Valore",near-identical-translation
"ai-engineering",7,"ai_transformers_3","Autoregressive","Autoregressivo",near-identical-translation
"ai-engineering",7,"ai_transformers_3","Generation","Generazione",near-identical-translation
"ai-engineering",8,"ai_vision_3","Segmentation","Segmentazione",near-identical-translation
"ai-engineering",9,"ai_prompt_1","Context","Contesto",near-identical-translation
"ai-engineering",9,"ai_prompt_3","Citation","Citazione",near-identical-translation
"ai-engineering",9,"ai_prompt_4","Temperature","Temperatura",near-identical-translation
"ai-engineering",9,"ai_prompt_4","Guardrails","Guardrail",near-identical-translation
"ai-engineering",10,"ai_training_1","Epoch","Epoca",near-identical-translation
"ai-engineering",10,"ai_training_3","Convergence","Convergenza",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","Precision","Precisione",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","False Positive","Falso positivo",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","False Negative","Falso negativo",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","Specificity","Specificità",near-identical-translation
"ai-engineering",11,"ai_evaluation_2","Calibration","Calibrazione",near-identical-translation
"ai-engineering",12,"ai_frameworks_1","Tensor","Tensore",near-identical-translation
"ai-engineering",12,"ai_frameworks_3","Estimator","Estimatore",near-identical-translation
"ai-engineering",13,"ai_features_2","Aggregation","Aggregazione",near-identical-translation
"ai-engineering",14,"ai_generative_1","Generator","Generatore",near-identical-translation
"ai-engineering",14,"ai_generative_1","Discriminator","Discriminatore",near-identical-translation
"ai-engineering",15,"ai_mlops_1","Reproducibility","Riproducibilità",near-identical-translation
"ai-engineering",15,"ai_mlops_3","Orchestration","Orchestrazione",near-identical-translation
"ai-engineering",15,"ai_mlops_3","CI/CD for ML","CI/CD per ML",near-identical-translation
"ai-engineering",16,"ai_deployment_1","Latency","Latenza",near-identical-translation
"ai-engineering",16,"ai_deployment_4","Observability","Osservabilità",near-identical-translation
"ai-engineering",17,"ai_responsible_2","Interpretability","Interpretabilità",near-identical-translation
"ai-engineering",18,"ai_rl_1","Agent","Agente",near-identical-translation
"ai-engineering",18,"ai_rl_1","State","Stato",near-identical-translation
"ai-engineering",18,"ai_rl_1","Episode","Episodio",near-identical-translation
"ai-engineering",19,"ai_advanced_1","Expert","Esperto",near-identical-translation
"ai-engineering",19,"ai_advanced_3","Multimodal","Multimodale",near-identical-translation
"ai-engineering",19,"ai_advanced_4","Memory","Memoria",near-identical-translation
"ai-engineering",21,"ai_security_1","Defensive Distillation","Distillazione difensiva",tautological-example
"ai-engineering",21,"ai_security_1","Perturbation","Perturbazione",near-identical-translation
"ai-engineering",22,"ai_research_1","Conference","Conferenza",near-identical-translation
"ai-engineering",22,"ai_research_3","Replication","Replicazione",near-identical-translation
"ai-engineering",22,"ai_research_4","Neuro-Symbolic","Neuro-simbolico",near-identical-translation
"ai-engineering",23,"ai_pro_4","Innovation","Innovazione",near-identical-translation
"ai-engineering",21,"ai_security_1","Defensive Distillation","",duplicate-across-lessons
"ai-engineering",21,"ai_security_4","Defensive Distillation","",duplicate-across-lessons
