topicId,level,lesson,english,italian,issueType
"nodejs",0,"node_foundations_1","Non-Blocking","Non bloccante",tautological-example
"nodejs",0,"node_foundations_3","Module","Modulo",near-identical-translation
"nodejs",0,"node_foundations_3","Process","Processo",near-identical-translation
"nodejs",0,"node_foundations_4","Version","Versione",near-identical-translation
"nodejs",0,"node_foundations_4","Argument","Argomento",near-identical-translation
"nodejs",1,"node_modules_2","Import","Importa",near-identical-translation
"nodejs",1,"node_modules_2","Export","Esporta",near-identical-translation
"nodejs",1,"node_modules_3","Install","Installa",near-identical-translation
"nodejs",2,"node_foundations_5","Parameter","Parametro",near-identical-translation
"nodejs",2,"node_foundations_7","Variable","Variabile",near-identical-translation
"nodejs",2,"node_foundations_7","Immutable","Immutabile",near-identical-translation
"nodejs",2,"node_foundations_8","Class","Classe",near-identical-translation
"nodejs",2,"node_foundations_8","Method","Metodo",near-identical-translation
"nodejs",3,"node_async_1","Continuation","Continuazione",near-identical-translation
"nodejs",3,"node_async_2","Resolve","Risolvi",near-identical-translation
"nodejs",3,"node_async_3","await","Attesa di una Promise (await)",trivial-example
"nodejs",3,"node_async_3","Sequential","Sequenziale",near-identical-translation
"nodejs",3,"node_async_3","Parallel","Parallelo",near-identical-translation
"nodejs",3,"node_async_3","Promisification","Promisificazione",near-identical-translation
"nodejs",3,"node_async_4","Starvation","Starvazione",near-identical-translation
"nodejs",4,"node_runtime_2","Open","Apertura file (open)",tautological-example
"nodejs",4,"node_runtime_2","Copy File","Copia file",near-identical-translation
"nodejs",5,"node_runtime_5","Port","Porta",near-identical-translation
"nodejs",5,"node_runtime_7","201 Created","201 Creato",near-identical-translation
"nodejs",6,"node_express_1","Application","Applicazione",near-identical-translation
"nodejs",6,"node_express_1","Generator","Generatore",near-identical-translation
"nodejs",6,"node_express_2","Route","Rotta",near-identical-translation
"nodejs",6,"node_express_4","Mount","Montaggio",tautological-example
"nodejs",7,"node_api_1","Idempotent","Idempotente",near-identical-translation
"nodejs",7,"node_api_2","Pagination","Paginazione",near-identical-translation
"nodejs",7,"node_api_3","Controller","Controllore",near-identical-translation
"nodejs",7,"node_api_3","Validation","Validazione",near-identical-translation
"nodejs",7,"node_api_4","2xx Success","2xx Successo",near-identical-translation
"nodejs",7,"node_api_4","Hypermedia","Ipermedia",near-identical-translation
"nodejs",8,"node_middleware_2","Origin","Origine",near-identical-translation
"nodejs",8,"node_middleware_2","Credentials","Credenziali",near-identical-translation
"nodejs",8,"node_middleware_3","Compression","Compressione",near-identical-translation
"nodejs",9,"node_database_1","Document","Documento",near-identical-translation
"nodejs",9,"node_database_1","Model","Modello",near-identical-translation
"nodejs",9,"node_database_2","Migration","Migrazione",near-identical-translation
"nodejs",9,"node_database_3","Relation","Relazione",near-identical-translation
"nodejs",10,"node_security_1","Session","Sessione",near-identical-translation
"nodejs",10,"node_security_4","Passport.js","Middleware di autenticazione per Node.js (Passport.js)",tautological-example
"nodejs",11,"node_runtime_9","Error","Errore",near-identical-translation
"nodejs",13,"node_events_1","EventEmitter","classe pub-sub di Node (EventEmitter)",tautological-example
"nodejs",13,"node_events_1","on","on (ascolta)",fake-translation
"nodejs",13,"node_events_1","on","on (ascolta)",trivial-example
"nodejs",13,"node_events_1","emit","emetti",tautological-example
"nodejs",13,"node_events_1","emit","emetti",trivial-example
"nodejs",13,"node_events_1","once","once (una volta)",tautological-example
"nodejs",13,"node_events_1","once","once (una volta)",fake-translation
