topicId,level,lesson,english,italian,issueType
"cpp",13,"cpp_modern_cpp_5","Std Filesystem","Libreria di gestione file system (std::filesystem)",trivial-example
"cpp",13,"cpp_modern_cpp_5","Std Visit","Visita di variante (std::visit)",trivial-example
"cpp",13,"cpp_modern_cpp_6","Requires Clause","Clausola requires",trivial-example
"cpp",13,"cpp_modern_cpp_6","Constraint","Vincolo",trivial-example
"cpp",13,"cpp_modern_cpp_6","Auto Concept","Concept con auto",trivial-example
"cpp",13,"cpp_modern_cpp_6","Std Integral","Concetto tipo intero (std::integral)",trivial-example
"cpp",13,"cpp_modern_cpp_6","Std Floating Point","Concetto tipo virgola mobile (std::floating_point)",trivial-example
"cpp",13,"cpp_modern_cpp_6","Concept Conjunction","Congiunzione di concept",trivial-example
"cpp",13,"cpp_modern_cpp_6","Concept Disjunction","Disgiunzione di concept",trivial-example
"cpp",13,"cpp_modern_cpp_7","Co Await","Attesa di coroutine (co_await)",trivial-example
"cpp",13,"cpp_modern_cpp_7","Co Yield","Produzione di valore da coroutine (co_yield)",trivial-example
"cpp",13,"cpp_modern_cpp_7","Co Return","Ritorno da coroutine (co_return)",trivial-example
"cpp",13,"cpp_modern_cpp_7","Promise Type","Tipo promise",trivial-example
"cpp",13,"cpp_modern_cpp_7","Generator","Generatore",near-identical-translation
"cpp",13,"cpp_modern_cpp_7","Generator","Generatore",trivial-example
"cpp",13,"cpp_modern_cpp_7","Awaitable","Oggetto attendibile (awaitable)",trivial-example
"cpp",13,"cpp_modern_cpp_7","Suspend Always","Sospensione sempre (std::suspend_always)",trivial-example
"cpp",13,"cpp_modern_cpp_7","Suspend Never","Sospensione mai (std::suspend_never)",trivial-example
"cpp",13,"cpp_modern_cpp_8","Module","Modulo",tautological-example
"cpp",13,"cpp_modern_cpp_8","Module","Modulo",near-identical-translation
"cpp",13,"cpp_modern_cpp_8","Module","Modulo",trivial-example
"cpp",13,"cpp_modern_cpp_8","Export","Esporta da modulo (export)",tautological-example
"cpp",13,"cpp_modern_cpp_8","Export","Esporta da modulo (export)",trivial-example
"cpp",13,"cpp_modern_cpp_8","Import","Importa modulo (import)",tautological-example
"cpp",13,"cpp_modern_cpp_8","Import","Importa modulo (import)",trivial-example
"cpp",13,"cpp_modern_cpp_8","Module Interface","Interfaccia di modulo",trivial-example
"cpp",13,"cpp_modern_cpp_8","Std Format","Formattazione di testo (std::format)",trivial-example
"cpp",13,"cpp_modern_cpp_8","Std Print","Stampa formattata (std::print)",trivial-example
"cpp",13,"cpp_modern_cpp_8","Format Spec","Specifica di format",tautological-example
"cpp",13,"cpp_modern_cpp_8","Format Spec","Specifica di format",trivial-example
"cpp",13,"cpp_modern_cpp_8","Designated Initializer","Inizializzatore designato",trivial-example
"cpp",14,"cpp_templates_5","Parameter Pack","Pack di parametri",trivial-example
"cpp",14,"cpp_templates_5","Pack Expansion","Espansione di pack",trivial-example
"cpp",14,"cpp_templates_5","Sizeof Pack","Sizeof su pack",trivial-example
"cpp",14,"cpp_templates_5","Fold Expression","Espressione fold",tautological-example
"cpp",14,"cpp_templates_5","Fold Expression","Espressione fold",trivial-example
"cpp",14,"cpp_templates_5","Left Fold","Fold sinistro",trivial-example
"cpp",14,"cpp_templates_5","Right Fold","Fold destro",trivial-example
